id,category,image,scale,rotate_deg,offset_x_px,offset_y_px,flip_x,weight
surprise_040,surprise,assets/images/base/idle1.png,0.94,-1.5,-6,-6,0,1
pout_001,pout,assets/images/base/pout.png,0.90,-2,-10,-4,0,1
pout_002,pout,assets/images/base/idle2.png,0.95,0.5,4,4,0,1
pout_003,pout,assets/images/base/pout.png,0.98,-1.5,-4,-2,0,1
pout_004,pout,assets/images/base/idle2.png,0.94,1,10,6,0,1
pout_005,pout,assets/images/base/pout.png,0.97,-1,2,0,0,1
pout_006,pout,assets/images/base/idle2.png,0.92,1.5,-6,-6,0,1
pout_007,pout,assets/images/base/pout.png,0.96,-0.5,8,2,1,1
pout_008,pout,assets/images/base/idle2.png,0.90,2,0,-4,0,1
pout_009,pout,assets/images/base/pout.png,0.95,0,-8,4,0,1
pout_010,pout,assets/images/base/idle2.png,0.98,-2,6,-2,0,1
pout_011,pout,assets/images/base/pout.png,0.94,0.5,-2,6,0,1
pout_012,pout,assets/images/base/idle2.png,0.97,-1.5,-10,0,0,1
pout_013,pout,assets/images/base/pout.png,0.92,1,4,-6,0,1
pout_014,pout,assets/images/base/idle2.png,0.96,-1,-4,2,1,1
pout_015,pout,assets/images/base/pout.png,0.90,1.5,10,-4,0,1
pout_016,pout,assets/images/base/idle2.png,0.95,-0.5,2,4,0,1
pout_017,pout,assets/images/base/pout.png,0.98,2,-6,-2,0,1
pout_018,pout,assets/images/base/idle2.png,0.94,0,8,6,0,1
pout_019,pout,assets/images/base/pout.png,0.97,-2,0,0,0,1
pout_020,pout,assets/images/base/idle2.png,0.92,0.5,-8,-6,0,1
pout_021,pout,assets/images/base/pout.png,0.96,-1.5,6,2,1,1
pout_022,pout,assets/images/base/idle2.png,0.90,1,-2,-4,0,1
pout_023,pout,assets/images/base/pout.png,0.95,-1,-10,4,0,1
pout_024,pout,assets/images/base/idle2.png,0.98,1.5,4,-2,0,1
pout_025,pout,assets/images/base/pout.png,0.94,-0.5,-4,6,0,1
pout_026,pout,assets/images/base/idle2.png,0.97,2,10,0,0,1
pout_027,pout,assets/images/base/pout.png,0.92,0,2,-6,0,1
pout_028,pout,assets/images/base/idle2.png,0.96,-2,-6,2,1,1
pout_029,pout,assets/images/base/pout.png,0.90,0.5,8,-4,0,1
pout_030,pout,assets/images/base/idle2.png,0.95,-1.5,0,4,0,1
pout_031,pout,assets/images/base/pout.png,0.98,1,-8,-2,0,1
pout_032,pout,assets/images/base/idle2.png,0.94,-1,6,6,0,1
pout_033,pout,assets/images/base/pout.png,0.97,1.5,-2,0,0,1
pout_034,pout,assets/images/base/idle2.png,0.92,-0.5,-10,-6,0,1
pout_035,pout,assets/images/base/pout.png,0.96,2,4,2,1,1
pout_036,pout,assets/images/base/idle2.png,0.90,0,-4,-4,0,1
pout_037,pout,assets/images/base/pout.png,0.95,-2,10,4,0,1
pout_038,pout,assets/images/base/idle2.png,0.98,0.5,2,-2,0,1
pout_039,pout,assets/images/base/pout.png,0.94,-1.5,-6,6,0,1
pout_040,pout,assets/images/base/idle2.png,0.97,1,8,0,0,1
angry_001,angry,assets/images/base/angry.png,0.92,-1.5,-8,-2,0,1
angry_002,angry,assets/images/base/pout.png,0.96,1,6,6,0,1
angry_003,angry,assets/images/base/angry.png,0.90,-1,-2,0,0,1
angry_004,angry,assets/images/base/pout.png,0.95,1.5,-10,-6,0,1
angry_005,angry,assets/images/base/angry.png,0.98,-0.5,4,2,0,1
angry_006,angry,assets/images/base/pout.png,0.94,2,-4,-4,0,1
angry_007,angry,assets/images/base/angry.png,0.97,0,10,4,0,1
angry_008,angry,assets/images/base/pout.png,0.92,-2,2,-2,0,1
angry_009,angry,assets/images/base/angry.png,0.96,0.5,-6,6,0,1
angry_010,angry,assets/images/base/pout.png,0.90,-1.5,8,0,0,1
angry_011,angry,assets/images/base/angry.png,0.95,1,0,-6,0,1
angry_012,angry,assets/images/base/pout.png,0.98,-1,-8,2,0,1
angry_013,angry,assets/images/base/angry.png,0.94,1.5,6,-4,0,1
angry_014,angry,assets/images/base/pout.png,0.97,-0.5,-2,4,0,1
angry_015,angry,assets/images/base/angry.png,0.92,2,-10,-2,0,1
angry_016,angry,assets/images/base/pout.png,0.96,0,4,6,0,1
angry_017,angry,assets/images/base/angry.png,0.90,-2,-4,0,0,1
angry_018,angry,assets/images/base/pout.png,0.95,0.5,10,-6,0,1
angry_019,angry,assets/images/base/angry.png,0.98,-1.5,2,2,0,1
angry_020,angry,assets/images/base/pout.png,0.94,1,-6,-4,0,1
jump_001,jump,assets/images/base/jump.png,0.90,-2,-10,-4,0,1
jump_002,jump,assets/images/base/wave.png,0.95,0.5,4,4,0,1
jump_003,jump,assets/images/base/jump.png,0.98,-1.5,-4,-2,0,1
jump_004,jump,assets/images/base/wave.png,0.94,1,10,6,0,1
jump_005,jump,assets/images/base/jump.png,0.97,-1,2,0,0,1
jump_006,jump,assets/images/base/wave.png,0.92,1.5,-6,-6,0,1
jump_007,jump,assets/images/base/jump.png,0.96,-0.5,8,2,0,1
jump_008,jump,assets/images/base/wave.png,0.90,2,0,-4,0,1
jump_009,jump,assets/images/base/jump.png,0.95,0,-8,4,0,1
jump_010,jump,assets/images/base/wave.png,0.98,-2,6,-2,0,1
jump_011,jump,assets/images/base/jump.png,0.94,0.5,-2,6,0,1
jump_012,jump,assets/images/base/wave.png,0.97,-1.5,-10,0,0,1
jump_013,jump,assets/images/base/jump.png,0.92,1,4,-6,0,1
jump_014,jump,assets/images/base/wave.png,0.96,-1,-4,2,0,1
jump_015,jump,assets/images/base/jump.png,0.90,1.5,10,-4,0,1
jump_016,jump,assets/images/base/wave.png,0.95,-0.5,2,4,0,1
jump_017,jump,assets/images/base/jump.png,0.98,2,-6,-2,0,1
jump_018,jump,assets/images/base/wave.png,0.94,0,8,6,0,1
jump_019,jump,assets/images/base/jump.png,0.97,-2,0,0,0,1
jump_020,jump,assets/images/base/wave.png,0.92,0.5,-8,-6,0,1
lift_001,lift,assets/images/base/lift1.png,0.94,-1,-2,0,0,1
lift_002,lift,assets/images/base/lift2.png,0.94,0,1,0,0,1
lift_003,lift,assets/images/base/lift3.png,0.94,1,4,0,0,1
lift_004,lift,assets/images/base/lift1.png,0.94,2,-4,0,0,1
lift_005,lift,assets/images/base/lift2.png,0.94,-1.5,-1,0,0,1
lift_006,lift,assets/images/base/lift3.png,0.94,-0.5,2,0,0,1
lift_007,lift,assets/images/base/lift1.png,0.94,0.5,5,0,0,1
lift_008,lift,assets/images/base/lift2.png,0.94,1.5,-3,0,0,1
lift_009,lift,assets/images/base/lift3.png,0.94,-2,0,0,0,1
lift_010,lift,assets/images/base/lift1.png,0.94,-1,3,0,0,1
lift_011,lift,assets/images/base/lift2.png,0.94,0,-5,0,0,1
lift_012,lift,assets/images/base/lift3.png,0.94,1,-2,0,0,1
lift_013,lift,assets/images/base/lift1.png,0.94,2,1,0,0,1
lift_014,lift,assets/images/base/lift2.png,0.94,-1.5,4,0,0,1
lift_015,lift,assets/images/base/lift3.png,0.94,-0.5,-4,0,0,1
lift_016,lift,assets/images/base/lift1.png,0.94,0.5,-1,0,0,1
lift_017,lift,assets/images/base/lift2.png,0.94,1.5,2,0,0,1
lift_018,lift,assets/images/base/lift3.png,0.94,-2,5,0,0,1
lift_019,lift,assets/images/base/lift1.png,0.94,-1,-3,0,0,1
lift_020,lift,assets/images/base/lift2.png,0.94,0,0,0,0,1
walkL_001,walkL,assets/images/base/walkL1.png,0.94,0,0,0,0,1
walkL_002,walkL,assets/images/base/walkL2.png,0.94,0,0,0,0,1
walkL_003,walkL,assets/images/base/walkL1.png,0.94,0,0,0,0,1
walkL_004,walkL,assets/images/base/walkL2.png,0.94,0,0,0,0,1
walkL_005,walkL,assets/images/base/walkL1.png,0.94,0,0,0,0,1
walkL_006,walkL,assets/images/base/walkL2.png,0.94,0,0,0,0,1
walkL_007,walkL,assets/images/base/walkL1.png,0.94,0,0,0,0,1
walkL_008,walkL,assets/images/base/walkL2.png,0.94,0,0,0,0,1
walkL_009,walkL,assets/images/base/walkL1.png,0.94,0,0,0,0,1
walkL_010,walkL,assets/images/base/walkL2.png,0.94,0,0,0,0,1
walkR_001,walkR,assets/images/base/walkR1.png,0.94,0,0,0,0,1
walkR_002,walkR,assets/images/base/walkR2.png,0.94,0,0,0,0,1
walkR_003,walkR,assets/images/base/walkR1.png,0.94,0,0,0,0,1
walkR_004,walkR,assets/images/base/walkR2.png,0.94,0,0,0,0,1
walkR_005,walkR,assets/images/base/walkR1.png,0.94,0,0,0,0,1
walkR_006,walkR,assets/images/base/walkR2.png,0.94,0,0,0,0,1
walkR_007,walkR,assets/images/base/walkR1.png,0.94,0,0,0,0,1
walkR_008,walkR,assets/images/base/walkR2.png,0.94,0,0,0,0,1
walkR_009,walkR,assets/images/base/walkR1.png,0.94,0,0,0,0,1
walkR_010,walkR,assets/images/base/walkR2.png,0.94,0,0,0,0,1
